"longitude","latitude","gdp_growth_1960_1980","PrSc_Enroll","Life_Exp","GDPsh560","Mining","Eco_Org","Yrs_Open","English_pct","Foreign_pct","R_FEX_Dist","Equip_Inv","NEquip_Inv","std_BMP","Outwar_Or","Bl_Mkt_Pm","Area","LatAmerica","SubSahara","High_Enroll","PctPubl_Edu","Rev_and_Coup","War_Dummy","Pol_Rights","Civl_Lib","Abs_Lat","Age","Brit_Col","Buddha","Catholic","Confucious","EthnoL_Frac","French_Col","Hindu","Jewish","Muslim","Pr_Exports","Protestants","Rule_of_Law","Spanish_Col","Pop_g","Work_Pop","Lab_Force","country_name"
3.187,36.72,137,0.46,47.3,7.439,0.196,0,0,0,0.836,190,0.0507,0.1907,186.5555,1,0.131,2382,0,0,0.003,0.0297,0.123,0,5.8333,5.8889,36.72,84,0,0,0,0,0.43,1,0,0.005,0.99,0.933,0.005,0.3333,0,0.0284,-1.3303,2855.52,"Algeria"
13.911,10.73,122,0.65,43.4,6.5468,0.088,5,0.156,0,0.007,187,0.004,0.125,4.4726,1,0.05,475,0,1,0.002,0.0221,0.08,0,6.0556,5.5556,10.73,0,0,0,0.16,0,0.89,1,0,0,0.16,0.915,0.17,0.5,0,0.0263,-0.7166,2587.055,"Cameroon"
15.031,-3.684,223,0.78,47.3,6.9689,0.168,1,0,0,0,191,0.0498,0.2384,4.4767,1,0.05,342,0,1,0.005,0.0311,0.36,0,6.5556,6.1667,3.684,0,0,0,0.25,0,0.66,1,0,0,0.02,0.71,0.25,0.3333,0,0.0275,-0.7741,455.5668,"Congo - Brazzaville"
38.725,9.007,-6,0.07,42.2,5.5175,0.001,0,0,0,0.002,98,0.006,0.0488,70.0233,0,0.156,1222,0,1,0.001,0.0095,0.72,1,6.6667,6.6111,9.007,0,0,0,0,0,0.69,0,0,0,0.42,0.983,0,0.5,0,0.0228,-0.67,12378.53,"Ethiopia"
-1.602,6.694,-16,0.38,45.2,6.7719,0.016,3,0.222,0,0,248,0.0044,0.0867,588.6267,0,0.35,239,0,1,0.002,0.026,0.547,0,5.8889,5,6.694,0,1,0,0.12,0,0.71,0,0,0,0.3,0.994,0.12,0.1667,0,0.0273,-0.8343,2941.271,"Ghana"
35.306,-0.513,96,0.47,45,6.4646,0.002,5,0.044,0,0,131,0.028,0.1465,12.4476,1,0.014,580,0,1,0.001,0.0361,0.05,0,5.3333,4.8333,0.513,79,1,0,0.28,0,0.83,0,0,0,0.06,0.874,0.38,0.3333,0,0.0357,-0.8083,3712.739,"Kenya"
47.555,-18.958,-208,0.52,41,7.0588,0.078,1,0,0,0,120,0.01,0.0611,4.799,0,0.05,587,0,1,0.002,0.0206,0.1,0,5.2222,5.0556,18.958,0,0,0,0.2,0,0.06,1,0,0,0.07,0.928,0.21,0.6667,0,0.027,-0.6706,2715.022,"Madagascar"
35.589,-15.811,68,0.67,37.9,5.9054,0.089,5,0,0,0,116,0.018,0.1143,32.6426,1,0.086,118,0,1,0,0.0118,0,0,6.3889,6.5556,15.811,0,1,0,0.2,0,0.62,0,0,0,0.2,0.963,0.55,0.1667,0,0.0301,-0.698,1756.03,"Malawi"
-7.663,33.593,285,0.47,46.9,6.6733,0.029,3,0.444,0,0.74,123,0.015,0.0684,9.0524,0,0.179,447,0,0,0.005,0.0305,0.08,1,4.1667,4.6111,33.593,0,0,0,0,0,0.53,1,0,0,0.99,0.903,0.01,0.1667,0,0.0256,-1.2698,3265.743,"Morocco"
3.349,6.543,112,0.36,39.7,6.3226,0.208,4,0,0,0.002,277,0.02,0.1,45.1837,1,0.086,924,0,1,0.001,0.0136,0.52,1,4.8889,4.0556,6.543,0,1,0,0.2,0,0.87,0,0,0,0.5,0.988,0.2,0.1667,0,0.0312,-1.0421,14920.97,"Nigeria"
-17.303,14.772,14,0.27,39.6,6.9246,0.005,4,0,0,0.001,146,0.0114,0.0847,4.4896,0,0.05,197,0,1,0.005,0.0187,0.04,0,4.3333,4,14.772,0,0,0,0.02,0,0.72,1,0,0,0.92,0.811,0,0.1667,0,0.0278,-0.8658,1340.771,"Senegal"
33.604,-2.154,151,0.25,40.6,5.743,0.002,0,0,0,0,216,0.0149,0.1656,83.9784,0,0.014,945,0,1,0,0.0265,0.05,1,6,6,2.154,0,1,0,0.16,0,0.93,0,0,0,0.35,0.872,0.16,0.5,0,0.0335,-0.5967,5520.315,"Tanzania"
10.153,36.816,328,0.66,48.6,6.981,0.079,4,0.133,0,0.986,104,0.033,0.1059,39.5923,0,0.848,164,0,0,0.006,0.0369,0,0,5.6111,4.8889,36.816,0,0,0,0,0,0.16,1,0,0.01,0.98,0.808,0.01,0.5,0,0.0224,-1.2737,1181.036,"Tunisia"
32.113,0.228,-94,0.49,43.2,6.5191,0.001,3,0.156,0,0,155,0.0048,0.0371,319.5108,1,0.014,236,0,1,0.002,0.019,0.43,1,5.7778,5.6111,0.228,0,1,0,0.33,0,0.9,0,0,0,0.16,0.996,0.33,0.1667,0,0.0348,-0.7026,3250.158,"Uganda"
28.542,-12.942,-121,0.42,41.8,6.8565,0.204,1,0.044,0,0,206,0.0372,0.2803,61.9765,1,0.086,753,0,1,0,0.0159,0.05,0,5.1111,5.1111,12.942,76,1,0,0.31,0,0.82,0,0.18,0,0.19,0.998,0.31,0.5,0,0.0334,-1.0153,1137.984,"Zambia"
31.109,-17.876,46,0.96,45.5,6.9177,0.06,3,0,0.074,0,164,0.0086,0.2026,101.3385,1,0.086,391,0,1,0,0.0163,0.3,1,4.8333,5.0556,17.876,0,1,0,0.25,0,0.54,0,0,0,0.01,0.656,0.25,0.1667,0,0.031,-0.8174,1683.379,"Zimbabwe"
-79.391,43.727,259,1,71.1,8.894,0.034,5,0.956,0.614,0.243,83,0.0861,0.1475,0.001,1,0,9976,0,0,0.16,0.0365,0,0,1,1,43.727,0,1,0,0.46,0,0.75,0,0,0,0,0.488,0.26,1,0,0.0134,-0.987,6674.685,"Canada"
-84.094,9.941,196,0.96,61.9,7.6074,0.035,3,0.422,0.016,0.891,91,0.031,0.1161,15.9528,0,0.221,51,1,0,0.049,0.035,0,0,1,1,9.941,76,0,0,0.95,0,0.07,0,0,0,0,0.803,0,0.6667,1,0.0302,-1.1967,373.5192,"Costa Rica"
-69.854,18.561,188,0.98,52.2,7.0432,0.024,3,0,0.001,0.87,129,0.021,0.1508,38.4014,0,0.369,49,1,0,0.013,0.0187,0.36,1,2.1667,2.5556,18.561,0,0,0,0.95,0,0.04,1,0,0,0,0.804,0,0.5,0,0.0268,-1.2708,906.6187,"Dominican Republic"
